Customer Name,JOHN SMITH
Customer Address,"123 Sample Street, Sample Area, Sample City, COUNTRY"
NayaPay ID,sampleuser123
NayaPay Account Number,03141234567
NayaPay IBAN,PK09NAYA1234503141234567
Customer Support Number,(021) 111-222-720
Customer Support Email,support@nayapay.com

Account Statement for:,from 01 Feb 2025 to 28 Feb 2025

Opening Balance,"85,000.00",Closing Balance,"108,100.00",Total Spent,"67,500",Total Income,"90,600"

TIMESTAMP,TYPE,DESCRIPTION,AMOUNT,BALANCE
01 Feb 2025 08:15 AM,Raast In,"Incoming fund transfer from Jane Doe Askari Bank-1234|Transaction ID 12345a09fede4646cc7d4c","85000","85,000.40"
01 Feb 2025 12:30 PM,Card Payment,"Coffee Shop Downtown Transaction ID 87654321","-250","84,750.40"
02 Feb 2025 09:45 AM,IBFT In,"Incoming fund transfer from Mike Johnson Bank AlFalah-2050|Transaction ID 887222","25000","109,750.40"
02 Feb 2025 02:20 PM,Raast Out,"Outgoing fund transfer to Sarah Wilson Meezan Bank-2660|Transaction ID 67ed65a50ef0a63b076bb811","-3500","106,250.40"
03 Feb 2025 10:15 AM,Card Payment,"Grocery Store Main Street Transaction ID 445566","-12500","93,750.40"
04 Feb 2025 04:30 PM,Card Payment,"Gas Station Highway Transaction ID 778899","-4500","89,250.40"
05 Feb 2025 11:30 AM,Online Payment,"Netflix Subscription Transaction ID 112233","-1500","87,750.40"
05 Feb 2025 01:45 PM,Card Payment,"Restaurant Plaza Transaction ID 334455","-8500","79,250.40"
06 Feb 2025 09:20 AM,Raast In,"Incoming fund transfer from Tom Brown HBL Bank-1850|Transaction ID 998877","15000","94,250.40"
07 Feb 2025 03:35 PM,Card Payment,"Pharmacy Main Road Transaction ID 556677","-1200","93,050.40"
08 Feb 2025 08:45 AM,Card Payment,"Bookstore Central Transaction ID 789012","-3200","89,850.40"
09 Feb 2025 12:15 PM,IBFT In,"Incoming fund transfer from Alex Kumar UBL Bank-5500|Transaction ID 345678","30000","119,850.40"
10 Feb 2025 02:30 PM,Card Payment,"Electronics Store Transaction ID 901234","-25000","94,850.40"
11 Feb 2025 04:45 PM,Raast Out,"Outgoing fund transfer to Lisa Davis Standard Chartered-7700|Transaction ID 567890","-4500","90,350.40"
12 Feb 2025 10:20 AM,Card Payment,"Taxi Service Transaction ID 123456","-1800","88,550.40"
13 Feb 2025 11:45 AM,Online Payment,"Online Course Subscription Transaction ID 654321","-5000","83,550.40"
14 Feb 2025 01:30 PM,Card Payment,"Flower Shop Valentine Transaction ID 987654","-2500","81,050.40"
15 Feb 2025 09:15 AM,IBFT In,"Incoming fund transfer from Emma Clark MCB Bank-3300|Transaction ID 456789","5000","86,050.40"
16 Feb 2025 03:45 PM,Card Payment,"Cinema Tickets Transaction ID 147258","-1200","84,850.40"
17 Feb 2025 12:30 PM,Raast Out,"Outgoing fund transfer to David Lee Faysal Bank-9900|Transaction ID 369258","-12000","72,850.40"
18 Feb 2025 02:15 PM,Card Payment,"Sports Store Transaction ID 258147","-15000","57,850.40"
19 Feb 2025 04:30 PM,Raast In,"Incoming fund transfer from Rachel Green NBP Bank-4400|Transaction ID 741852","20000","77,850.40"
20 Feb 2025 10:45 AM,Card Payment,"Hair Salon Transaction ID 852963","-3500","74,350.40"
21 Feb 2025 12:20 PM,Online Payment,"Music Streaming Subscription Transaction ID 963741","-800","73,550.40"
22 Feb 2025 02:45 PM,Card Payment,"Fast Food Chain Transaction ID 159753","-1500","72,050.40"
23 Feb 2025 08:30 AM,Raast Out,"Outgoing fund transfer to Robert Wilson Habib Bank-6600|Transaction ID 753951","-8000","64,050.40"
24 Feb 2025 11:15 AM,Card Payment,"Clothing Store Transaction ID 357159","-8500","55,550.40"
25 Feb 2025 01:45 PM,IBFT In,"Incoming fund transfer from Sophie Davis Allied Bank-8800|Transaction ID 951357","25000","80,550.40"
26 Feb 2025 03:30 PM,Card Payment,"Pet Store Transaction ID 159357","-2200","78,350.40"
27 Feb 2025 09:45 AM,Online Payment,"Cloud Storage Subscription Transaction ID 357951","-1000","77,350.40"
28 Feb 2025 05:20 PM,Card Payment,"Department Store Transaction ID 951753","-6500","70,850.40"
